21,Η ΓΛΩΣΣΑ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ JAVA-OCP,"ΠΕΡΙΕΧΟΜΕΝΑ:ΒΑΣΙΚΑ ΣΤΟΙΧΕΙΑ ΤΗΣ ΓΛΩΣΣΑΣ,ΤΥΠΟΙ ΔΕΔΟΜΕΝΩΝ/ΤΕΛΕΣΤΕΣ,ΕΛΕΓΧΟΙ ΡΟΗΣ,ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΕΦΗΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΧΕΙΡΙΣΜΟΣ ΕΞΑΙΡΕΣΕΩΝ,ΧΡΗΣΗ ΒΑΣΙΚΩΝ ΚΛΑΣΕΩΝ,OBJECTS WRAPPER CLASSES,ΓΕΝΙΚΕΥΣΕΙΣ,ΣΥΛΛΟΓΕΣ,ΠΟΛΥΝΗΜΑΤΙΚΗ ΕΠΕΞΕΡΓΑΣΙΑ,ΣΧΕΔΙΑΣΜΟΣ ΓΡΑΦΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,ΔΙΑΣΥΝΔΕΣΗ ΜΕ RDBMS.                                                                     ΤΟ ΒΙΒΛΙΟ ΠΕΡΙΕΧΕΙ CD-ROM  ",-
22,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΛΗΡΟΦΟΡΙΚΗ,,-
23,ΤΟ ΒΙΒΛΙΟ ΤΟΥ ΣΚΑΝΕΡ ME CD ROM,,-
24,ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΕΠΙΧΕΙΡΗΣΕΩΝ - ΤΟΜΟΣ: 1,"Εξετάζονται σύγχρονα συστήματα επιτελικής πληροφόρησης για την υποστήριξη αποφάσεων και τη διαχείριση επιχειρησιακών πόρων, πελατειακών σχέσεων, ζητήματα logistics, ασφάλειας και ηλεκτρονικού εμπορίου.",-
25,ΥΜΝΟΣ ΕΙΣ ΤΗΝ ΕΛΕΥΘΕΡΙΑΝ,,-
26,ΜΑΘΑΙΝΩ ΝΑ ΧΡΗΣΙΜΟΠΟΙΩ ΤΟΝ ΥΠΟΛΟΓΙΣΤΗ - ΤΟΜΟΣ: 1,,-
27,ΜΙΚΡΟΣ ΜΟΥΣΙΚΟΣ,,-
28,ΠΕΤΑΛΟΥΔΕΣ ΚΑΙ ΝΥΧΤΟΠΕΤΑΛΟΥΔΕΣ,Ποιου εντόμου το κεφάλι μοιάζει με νεκροκεφαλή; Σε ποιο μέρος βραβεύτηκαν οι κάμπιες ως το πιο νόστιμο γεύμα; Οι πεταλούδες και οι νυχτοπεταλούδες ανήκουν στην κατηγορία των πιο μαγευτικών πλασμάτων της φύσης. Παρακολουθήστε τη θαυμαστή μεταμόρφωσή τους από το στάδιο της κάμπιας σε έντομο και μάθετε γιατί μας μαγεύουν και μας εμπνέουν από παλιά.,-
29,ΠΛΑΝΗΤΕΣ ΚΑΙ ΔΟΡΥΦΟΡΟΙ,"-5000 φωτογραφίες, απεικονίσεις και οθόνες  - 45 λεπτά διαστημικής μουσικής  - 60 λεπτά αφήγησης  - 100 βίντεο  - 36 περιηγήσεις  - 30 τρισδιάστατα μοντέλα πλανητών και δορυφόρων  - 10 μουσικά πορτρέτα  - 100000 λέξεις γλαφυρού κειμένου  Όλα αυτά με μια απλή πλοήγηση σας οδηγούν στους διαφορετικούς κόσμους του ηλιακού μας συστήματος.",-
30,ΝΗΣΙΑ,"Ποιο πουλί ρίχνει πετραδάκια για να φτιάξει ένα νησί; Πότε ένα νησί δεν είναι νησί; Τα Νησιά ταξιδεύουν από τροπικούς παραδείσους μέχρι ζοφερές απομακρυσμένες περιοχές της Γης. Ψάχνοντας για θησαυρούς πειρατών, για πραγματικούς δράκοντες ή για πουλιά που πετούν προς τα πίσω, τα νησιά, είτε έτσι, είτε αλλιώς, είναι πάντα ""ένας κόσμος χωριστά"".",-
31,ΠΛΑΝΗΤΕΣ,"Από τι αποτελούνται οι δακτύλιοι του Κρόνου; Τι είναι η κόκκινη κηλίδα στην επιφάνεια του Δία; Η ατμόσφαιρα της Αφροδίτης είναι γεμάτη θειάφι; Οι Πλανήτες ταξιδεύουν μέσα στο διαστημικό χώρο και χρόνο, γίνονται μάρτυρες της γέννησης του ήλιου και φτάνουν μέχρι τα όρια του ηλιακού μας συστήματος. Εξερευνήστε τους εξωγήινους κόσμους των γειτόνων της Γης στο διάστημα, που έχουν ονόματα θεών, που συνεχίζουν μέχρι σήμερα να εμπνέουν μύθους και θρύλους.",-
32,ΟΛΑ ΟΣΑ ΘΕΛΕΤΕ ΝΑ ΜΑΘΕΤΕ ΓΙΑ ΤΗ ΔΗΜΙΟΥΡΓΙΑ ΕΝΤΥΠΩΝ ΣΕ PC,,-
33,NEW TECHNOLOGIES IN TELEWORKING,"Teleworking is a flexible now of organising work without the need of the physical presence of the workplace. Telework  brings work to the worker instead of the worker to the work; it is achieved with the application of Information and Communication Technologies (ICTs).  The aim of this book is to present the Telework concept and the aspects involved in this new form of work organisation, to assist teleworkers or potential teleworkers to get familiarised with the technological aspects involved in teleworking and obtain the knowledge and skills needed to telework by using the Internet tools and services.  ",-
34,ΒΑΣΙΚΕΣ ΕΝΝΟΙΕΣ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,,-
35,ΜΕΛΕΤΕΣ - ΕΦΑΡΜΟΓΕΣ ΚΑΙ ΥΛΟΠΟΙΗΣΗ ΔΙΚΤΥΩΝ Η/Υ,,-
36,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΜΕ ΤΗ ΧΡΗΣΗ MATLAB,"Το βιβλίο ""Προγραμματισμός με τη χρήση MATLAB"" δεν αποτελεί μόνο ένα εγχειρίδιο του προγραμματιστικού περιβάλλοντος του MATrix LABoratory (MATLAB), αλλά και μια εισαγωγή στις αριθμητικές μεθόδους και στους επιστημονικούς υπολογισμούς με τη χρήση του.    Σκοπός των συγγραφέων είναι η παρουσίαση των δυνατοτήτων του περιβάλλοντος του MATLAB μέσω βασικών αλγοριθμικών διαδικασιών και στη συνέχεια η επίλυση βασικών μαθηματικών προβλημάτων με τη χρήση αριθμητικών μεθόδων.    Για την επίλυση των προβλημάτων, δεν χρησιμοποιούνται μόνο οι ενσωματωμένες εντολές του MATLAB, αλλά γίνεται ανάπτυξη αλγοριθμικών διαδικασιών για την περαιτέρω εξάσκηση του αναγνώστη.    Τέλος, το σύγγραμμα αυτό μπορεί να χρησιμοποιηθεί από αρχάριους και πεπειραμένους προγραμματιστές του περιβάλλοντος MATLAB για την επίλυση προγραμμάτων και εφαρμογών στα Μαθηματικά, Φυσική, Επιστήμη των μηχανικών και Οικονομική Επιστήμη και ιδιαίτερα σε όσους χρησιμοποιούν επιστημονικούς και αριθμητικούς υπολογισμούς.    Η έκδοση αυτή απευθύνεται τόσο σε προπτυχιακούς όσο και σε μεταπτυχιακούς φοιτητές, μηχανικούς και επιστήμονες των θετικών επιστημών και πληροφορικής.",-
37,ΧΡΗΣΗ WINDOWS VISTA,,-
38,ΣΥΓΧΡΟΝΗ ΚΡΥΠΤΟΓΡΑΦΙΑ,"Το βιβλίο αυτό αποτελεί μια προσπάθεια παρουσίασης της σύγχρονης κρυπτογραφίας και των εφαρμογών της. Η προσπάθεια αυτή εστιάζεται κυρίως στο να προσφέρουμε στον αναγνώστη μια ολοκληρωμένη εικόνα της επιστήμης της κρυπτογραφίας καθώς και των πεδίων εφαρμογών της, χωρίς να απαιτείται κάποιο ειδικό μαθηματικό υπόβαθρο, έτσι ώστε με μικρό κόπο τα άρθρα να είναι κατανοητά από τον καθένα.  Στις περιπτώσεις που είναι αναγκαία η παράθεση μερικών μαθηματικών ορισμών και αποτελεσμάτων, αυτή γίνεται έτσι ώστε ο αναγνώστης να μην αποθαρρυνθεί και να συνεχίσει την ανάγνωση του βιβλίου χωρίς δυσκολία. Από όσο είναι δυνατό να γνωρίζουμε, το βιβλίο αυτό αποτελεί την πρώτη προσπάθεια, στην ελληνική επιστημονική βιβλιογραφία, να καλυφθεί σφαιρικά το θέμα της κρυπτογραφίας και των εφαρμογών της με τρόπο προσιτό για το μέσο αναγνώστη. Τα θέματα του βιβλίου ποικίλλουν από τις μαθηματικές θεμελιώσεις της κρυπτογραφίας μέχρι τον κβαντικό αλγόριθμο παραγοντοποίησης του Peter Shor και τον αλγόριθμο επίλυσης του προβλήματος του περιοδεύοντος πωλητή του Leonard Adleman με χρήση αλυσίδων DNA και πως αυτά μπορούν να χρησιμοποιηθούν για την κρυπτανάλυση πολλών δημοφιλών κρυπταλγόριθμων.",-
39,ΕΦΑΡΜΟΓΕΣ & ΤΕΧΝΟΛΟΓΙΕΣ ΠΟΛΥΜΕΣΩΝ (ΠΑΠΑΖΟΓΛΟΥ/ΙΩΝ),,-
40,ΚΡΥΠΤΟΓΡΑΦΙΑ ΚΑΙ ΑΣΦΑΛΕΙΑ ΔΙΚΤΥΩΝ,"Το βιβλίο αυτό, επικαιροποιημένο με τις σύγχρονες τάσεις και τεχνολογίες, αποτελεί το βασικό οδηγό για τις αρχές, τεχνικές και εφαρμογές της κρυπτογραφίας και της ασφάλειας των δικτύων.",-
